英文单词,中文意思,难度
spontaneous,"a.自发的,自然产生的",△
spot,"n.斑点;地点 v.认出,认清,发现;玷污,弄脏",
spouse,n.配偶(指夫或妻),▲
spray,"n.喷雾,飞沫,浪花,水花 v.喷,喷射",△
sprinkle,"n.洒,喷,淋",△
sprout,vi.发芽，抽条 vt.使发芽 n.新芽，嫩苗,▲
spur,"n.靴刺,马刺;刺激,刺激物 v.刺激,激励",△
squeeze,"v.压榨,挤 n.榨取,勒索",▲
squirrel,n.松鼠,△
stab,"v./n.刺,戳",▲
stability,"n.稳定,安定",
stable,"a.稳定的,安定的 n.马厩,马棚",△
stack,"n.堆,一堆 v.堆积,堆起",
stadium,n.体育场,
staff,"n.全体职工;杠,棒;参谋部 v.配备工作人员",
stagger,vi.摇晃着移动;蹒跚 n.摇晃不稳的动作;蹒跚,▲
stain,"n.污点,瑕疵 v.沾污;染色",
staircase,n.(stairway)楼梯,
stake,"n.桩,标桩;赌注,利害关系  v.界定, 赌博",▲
stalk,n.茎，梗vt.悄悄地跟踪vi.高视阔步地走,▲
stall,"n.货摊;畜栏,厩 v.(使)停转,(使)停止, ",▲
standpoint,"n.立场,观点",
staple,n.订书钉，主要产品；名产；主食,▲
startle,"v.惊吓,使吃惊",▲
starve,"v.(使)饿死,饿得慌,挨饿",△
state,"n.状态,情况;国,州 v.陈述,说明",
statement,"n.声明,陈述",
statesman,"n.政治家,国务活动家",△
static,"a.(statical)静态的,静力的",△
stationary,"a.静止的,固定的",
stationery,n.文具,▲
statistical,"a.统计的,统计学的",
statue,"n.塑像,雕像；v.以雕像装饰",△
status,"n.地位,身份;情形,状况",
statute,n.成文法，法令，法规；章程，规则，条例,▲
steady,"a.稳定的,不变的;坚定的v.(使)稳固/稳定",
steak,n.牛排；大块肉(或鱼)片,▲
steamer,"n.汽船,轮船",▲
steep,"a.陡峭的；险峻的；急剧升降的vt.浸泡,沉浸",▲
steer,vt.驾驶，为…操舵；引导vi.驾驶,▲
stem,n.茎，干 vt.堵(挡)住 vi.起源于，由…造成,△
stereo,n.立体声音响；立体声装置 n./a.立体声(的),
stereotype,n.陈规，老套，模式化 vt.使定型，使模式化,△
stern,"a.严厉的;坚决的,坚定的 n.船尾,舟尾",▲
steward,n.乘务员，服务员；看管人；膳食管理员,▲
sticky,a.粘的，粘性的；棘手的；(道路)泥泞的,▲
stiff,"a.硬的,僵直的;拘谨的;呆板的;艰难的",▲
stimulate,"v.刺激,使兴奋;激励,鼓舞",△
sting,"v./n.刺,刺痛,剧痛;刺,叮",▲
stir,"v.搅拌,搅动;动,摇动;激动;轰动;煽动,鼓动",△
stitch,n.一针；(因跑步引起的)肋部剧痛 v.缝(合),▲
stock,"n.备料,库存,现货;股票,公债 v.储存",
stocking,n.长(统)袜,▲
stool,n.凳子；(pl.)大便,△
stoop,"v.弯腰,俯身 n.弯腰,曲背；屈从，屈就",▲
straightforward,"a.正直的;简单的,易懂的 ad.坦率地",△
strain,v.拉紧;紧张;扭伤;竭尽全力 n.拉紧;负担,
strap,"n.皮带, 带子 v.用带扣住, 束牢；用绷带包扎",▲
strategy,n.战略，策略；对策，政策,
straw,"n.稻草,麦杆;吸管",▲
strawberry,n.草莓,
stream,"n.小河,溪流;流,一股,一串 v.流出,涌",
streamline,a.流线型的 vt.使成流线型；使合理化,
strengthen,"v.加强,巩固",
strenuous,a.费力的，艰辛的；奋发的，努力的,▲
stress,n.压力；重要性；应力；重音vt.强调，重读,
stretch,v.伸展，延伸 n.拉长；伸展；一段时间/路程,▲
stride,vi.大踏步走；跨越 n.一大步(pl.)长足进步,▲
strife,n.争吵；冲突，斗争；竞争,▲
striking,a.显著的；惹人注目的，容貌出众的,
string,"n.弦,线,细绳;(一串),(一行) v.缚,捆",▲
strip,"v.剥,剥去 n.窄条,条纹",▲
stripe,n.长条，条纹；军服上表示军阶的臂章条纹,▲
strive,"v.奋斗,努力",▲
stroke,n.击;报时的钟声;一击/划/笔;中风 v.抚摸,△
stroll,n.&v.漫步；散步；游荡,▲
structure,"n.结构,构造;建筑物 v.构造,建造",
stubborn,"a.顽固的,倔强的;难对付的,难以克服的",▲
studio,n.画室;播音室;(电影)制片厂,
stuff,"n.原料,材料,东西 v.填满,塞满",△
stumble,n.跌倒，绊倒 vi.绊(摔)倒；结结巴巴说,▲
stun,vt.使…失去知觉；使目瞪口呆，使吃惊,▲
sturdy,a.坚定的，不屈不挠的；强健的，结实的,▲
style,"n.风格,文体;式样,时式,类型",
subjective,a.主观(上)的，个人的,△
submarine,"n.潜水艇 a.水底的,海底的",
submerge,"v.沉没,淹没;潜入",△
submit,"v.(to)使服从,屈服;(to)呈送,提交",△
subordinate,"a.(to)次要的,从属的;下级的",△
subscribe,vi.(to)订阅，订购；同意vt.捐助，赞助,△
subsequent,"a.随后的,后来的",
subsidy,n.补助金；津贴费,▲
substance,n.物质；实质，本质；主旨；财产，资产,
substantial,a.实质的;相当的;显著的;坚固的;富裕的,△
substitute,"n.代替者；替身；代用品 v.(for)代替,替换",▲
subtle,"a.精巧的,巧妙的;细微的,微妙的",▲
subtract,v.减(去),▲
suburb,"n.市郊,郊区",
subway,n.地铁；地下行人隧道,
succession,"n.连续,系列;继任,继承",▲
successive,"a.接连的,连续的",△
successor,n.接替的人或事物，继任者,△
suck,v.&n.吸，舐；吸收(取),
sue,"v.控告,对…提出诉讼,起诉",▲
suffer,"v.(from)受痛苦,患病;受损失;遭受;忍受",
suffice,v.充足，足够；vt.(食物等)使(某人)满足,▲
sufficient,"a.(for)足够的,充分的(比enough拘谨、正式)",
suicide,n.自杀；给自己带来恶劣后果的行为,
suite,n.套间；一套家具；套，组，系列,
sulfur,n.(sulphur)硫,△
sum,"n.总数,和;金额;算术题;要旨 v.合计,总计",
summarize,"v.(summarise)概括,总结",
summary,"n.摘要,概要 a.概括的,简略的",
summit,n.顶，最高点；颠峰，高峰；最高级会议,
summon,"v.召唤;传讯,传唤;鼓起(勇气),振作(精神)",▲
superb,"a.极好的,杰出的；华丽的；",▲
superficial,"a.表面的;肤浅的,浅薄的",
superfluous,a.多余的，过剩的，,▲
superior,"a.优良的,卓越的;上级的 n.上级;长者;高手",
superiority,n.优越(性)，优势，优等；高傲，傲慢,
supersonic,"a.超音速的,超声波的 n.超声波，超声频",
superstition,n.迷信，迷信的观念习俗,▲
supervise,"v.管理,监督",
supplement,"n.补遗;增刊;附录 v.增刊,补充",△
suppress,"v.镇压,压制;抑制,忍住;查禁",▲
supreme,"a.极度的,最重要的;至高的,最高的",▲
surface,n.表面；外表 a.表面的，肤浅的,
surge,vi.汹涌；彭湃；蜂拥而至 n.巨浪;汹涌;彭湃,▲
surgeon,n.外科医生,
surgery,"n.外科,外科学;手术室,诊疗室",
surpass,"vt.超过,胜过",
surplus,"n.过剩,剩余；余款,余额 a.过剩的,剩余的",▲
surrender,vi.投降，屈服 vt.放弃，交出 n.投降，认输,
surroundings,"n.周围的事物,环境",
survey,"v./n.俯瞰,眺望;全面审视,调查;测量图,勘定",△
survival,"n.幸存,生存;幸存者,残存物",
survive,"v.幸免于,幸存;比…长命",
susceptible,a.易受影响的;易受感动的;易受感染的,△
suspect,v.猜想；怀疑；察觉 a.可疑的 n.嫌疑犯,
suspend,v.悬(浮)，挂；暂停，取消；推迟,
suspicion,n.怀疑，猜疑；一点儿，少量,
suspicious,"a.(of)可疑的,多疑的,疑心的",
sustain,"vt.支撑,撑住;维持,持续,经受,忍耐",△
swallow,"n.燕子;吞咽vt.吞,咽;轻信;忍受;vi.咽口水",▲
swamp,n.沼泽；湿地 vt.浸没；使…应接不暇,▲
swan,n.天鹅 vi.闲荡，游荡,▲
swarm,n.蜂群;一大群 vi.涌往;挤满;云集;成群移动,▲
sway,vi.摇动；倾斜 vt.使摇动 n.摇动；影响力,
swear,"v.(at)诅咒,骂人;宣誓,发誓",
sweat,n.汗 v.(使)出汗,
swell,n./v.肿胀;膨胀;增大;增加;,△
swift,a./ad.快的(地);敏捷的(地)a.立刻的n.雨燕,△
swing,"v.摇摆,摇荡,回转,旋转 n.秋千;摇摆,摆动",△
switch,"n.开关；转换；鞭子 v.转变,转换；抽打",
symbol,"n.符号,标志;象征",
symmetry,"n.对称(性);匀称,整齐",△
sympathetic,a.有同情心的；赞同的；n.交感神经,▲
sympathize,"v.(sympathise)(with)同情;共鸣,同感;赞成",
sympathy,n.同情，同情心；赞同，同感；慰问,
symphony,"n.交响乐,交响曲",△
symposium,"n.讨论会,专题报告会;专题论文集",▲
symptom,"n.(疾病的)症状；(不好事情的)征兆,表征",
syndrome,n.综合病征；并存特性,
synthesis,"n.(pl.syntheses)综合,合成",
synthetic,"a.合成的,人造的;综合的",
system,n.系统，体系；制度；方法，方式，步聚,
systematic,"a.(systematical)系统的,有组织的",
tablet,"n.药片;碑,匾",△
tackle,"n.滑车;用具,器械 v.处理,解决;抱住,抓住",▲
tactic,"n.(tactics)策略,战术",△
tag,n.标签;鞋带;垂饰;vt.加标签于;附加vi.紧随,▲
talent,"n.才能,天资;人才",
tame,"a.驯服的,温顺的;沉闷的,乏味的 vt.驯服",▲
tan,n./a.(皮肤因日晒而成)棕褐色(的) vt.晒黑,▲
tangle,n.纠缠；缠结；混乱 v.(使)缠绕；变乱,▲
tank,"n.罐,槽,箱；坦克 vt.储于槽中",
tanker,n.油船,
tar,n.柏油，焦油 vt.涂或浇柏油/焦油于,▲
target,"n.目标,对象,靶子",
tariff,"n.关税,税率;(旅馆,饭店等)价目表,收费表",△
tease,"v.戏弄,取笑;挑逗 n.(爱)戏弄他人者;戏弄",▲
technician,"n.技术员,技师,技工",
tedious,"a.乏味的,单调的,冗长的",▲
teenager,n.十几岁的青少年,
telescope,n.望远镜 v.缩短，压缩,
temper,n.脾气；韧度vt.调和，使缓和；使回火,△
temperament,n.气质，性格，性情；资质,△
tempo,"n.节奏,行进速度;(音乐的)速度",▲
temporary,"a.暂时的,临时的",
tempt,"v.诱惑,引诱;吸引,使感兴趣",
tenant,n.承租人;房客;佃户 vt.租借，承租,▲
tend,"v.趋向,往往是;照料,看护",
tender,"a.嫩的;敏感的;温柔的 v.提出,提供;投标",△
tense,n.时态 v.拉紧，(使)紧张 a.绷紧的，紧张的,
tension,n.(紧张)状态；拉(绷)紧；张力，拉力,
tentative,a.试探性的，暂时的；犹豫不决的,▲
terminal,a.晚期的;终点的;期末的 n.终点(站);终端,△
terminate,vi.(使)结束，(使)停止,
terrific,"a.极好的,非常的,极度的",▲
terrify,"v.使害怕,使惊恐",
territory,"n.领土;版图;领域,范围",△
testify,v.作证，证明；(to)表明，说明,
testimony,"n.证据,证词;表明,说明",△
textile,n.纺织品 a.纺织的,▲
texture,n.(织物)质地；(材料)构造；结构；肌理,▲
Thanksgiving,n.感恩节,
theme,n.题目，主题；主旋律，基调,
theory,"n.理论,原理;学说,见解,看法",
therapy,n.治疗，(不需要药物或手术的)物理疗法,
thereafter,"ad.此后,以后",△
thereby,"ad.因此,从而",▲
therefore,ad.因此，所以 conj.因此,▲
thermal,"a.热的,热力的；(小规模的)上升气流",
thermometer,n.温度计,
thesis,n.(pl.theses) 论文;论题;论点,
thigh,n.大腿；股骨,▲
thirst,"n.渴,口渴;(for)渴望,热望",
thorn,"n.刺,荆棘",▲
thorough,"a.彻底的,完全的;精心的",▲
thoughtful,"a.认真思考的,沉思的;体贴的,关心的",△
threat,"n.恐吓,威胁;坏兆头,危险迹象",
threaten,"v.恐吓,威胁;有…危险,快要来临",
threshold,"n.门槛;入门,开端",△
thrift,a.节约，节俭,▲
thrill,n.一阵激动(恐惧) v.激动；(使)毛骨悚然,△
thrive,"v.兴旺,繁荣",△
throat,"n.咽喉,嗓子",△
throne,n.御座，宝座；王位，王权,▲
thrust,vt.插入；猛推 n.插，推力 vi.刺，戳，冲,▲
thumb,n.拇指 v.示意要求搭车；迅速翻阅,▲
thunder,"n.雷(声);轰隆声 v.打雷;大声说,吼叫",
tick,n.滴答声;勾号 v.滴答响;打勾号于,▲
tide,"n.潮,潮汐;潮流,趋势",△
tidy,"a.整洁的,整齐的 v.整理,收拾",▲
tile,"n.瓦片,瓷砖 vt.铺瓦于，贴砖于",▲
tilt,v.(使)倾侧；(使)倾斜 n.倾侧；倾斜,▲
timber,"n.木材,木料",▲
timely,"a.及时的,适时的",△
timid,"a.胆怯的,怯懦的",▲
tissue,"n.织物,薄绢,纸巾;(动,植物的)组织",
title,"n.书名,标题;头衔,称号",
toast,"n.烤面包,吐司;祝酒(词)v.烘,烤;(向…)祝酒",△
token,n.表示;标志;记号;代用硬币 a.象征性的,▲
tolerance,"n.宽容；容忍,忍受；耐药力；公差",△
tolerant,"a.容忍的,宽容的；有耐药力的",△
tolerate,"vt.容忍,默许；对(药物、毒品等)有耐力",△
toll,"n.(道路,桥等的)通行费;牺牲;死伤人数;v.征税,鸣钟",▲
tomb,"n.坟,冢",△
tone,"n.音调,音色;风气,气氛;腔调,语气;色调",
topic,"n.话题,主题,题目",
torment,n.折磨；令人痛苦的东西(人)vt.折磨；纠缠,▲
torrent,n.激流，洪流；爆发，(话语等的)连发,△
torture,"v.拷问,拷打;折磨,磨难 n.拷问;折磨,痛苦",▲
toss,vt.向上掷/扔；摇摆，颠簸 n.投，扔；摇动,▲
tough,"a.坚韧的,棘手的;强健的,吃苦耐劳的;粗暴的",▲
tow,"vt.(用绳、链等)拖(车、船等) n.拖,牵引",▲
towel,n.毛巾 vt.用毛巾擦或擦干,▲
toxic,a.有毒的；中毒的,
trace,"n.痕迹,踪迹;极少量 v.描绘;跟踪,追踪",△
tractor,"n.拖拉机,牵引车",▲
trademark,n.商标；特征 vt.注册的…商标,
tradition,n.传统； 惯例； 传说,
tragedy,"n.悲剧;惨事,灾难",
tragic,"a.悲剧的,悲惨的",△
trail,"n.踪迹,痕迹;小路 v.追踪,跟踪;拖,拖曳;",△
trait,"n.特征,特点,特性",▲
traitor,"n.叛徒,卖国贼",▲
tram,n.有轨电车,▲
tramp,n./v步行;沉重的脚步声(走)v.践踏n.流浪者,▲
transaction,"n.办理,处理;交易,事务;(pl.)会报,学报",▲
transcend,"vt.超出,超越(经验、知识、能力的范围等)",▲
transfer,vt./n.转移；转换；转让；过户；迁移；改乘,△
transform,"vt.改变,变换;变压;转化;改造",△
transient,"a.短暂的, 转瞬即逝的；临时的, 暂住的；候鸟",▲
transistor,n.晶体管；晶体管收音机,▲
transition,n.转变，变迁，过渡(时期),△
transmission,"n.播送,发射;传动,传送",
transmit,vt.传输/导；转送；发射 vi.发射信号；发报,△
transparent,a.透明的，透光的；易理解的；明显的,△
transplant,"n./v.移植(植物；组织,器官等)；迁移；",
transport,"v.运输,运送,搬运n.运输;运输系统,运载工具",△
tray,"n.盘,碟,托盘",△
treason,"n.谋反,通敌,叛国",▲
treaty,n.条约，协议，协商,▲
tremble,"n.战栗,颤抖 v.发抖,颤抖；摇动；焦虑",△
tremendous,"a.巨大的,极大的",△
trench,n.&v.(挖)沟，(挖)战壕,▲
trend,"n.倾向,趋势 vi.伸向,倾向",
trial,n.讯问，审讯；试验；试用；尝试,△
triangle,n.三角(形),
tribe,n.种族，部落；(植物，动物)族，类,△
tribute,"n.贡品;颂词,称赞,(表示敬意的)礼物",△
trifle,"n.少量；小事,琐事 v.玩弄；嬉耍；忽视",▲
trigger,n.扳机 vt.触发，引起,
trim,"a.整齐的,整洁的 v./n.整理,修剪,装饰;见风使舵",▲
triple,n.三倍数 a.三倍的;三部分构成的v.使成三倍,
triumph,"n.胜利,成功 v.得胜,战胜",△
trivial,a.琐碎的;无足轻重的,▲
trolley,"n.手推车;(英)无轨电车,(美)有轨电车",▲
troop,"n.(pl.)部队,军队;(一)群/队 v.群集,集合",
tropic,n.回归线，热带；a.热带的,△
tropical,a.热带的,△
trumpet,"n.喇叭,小号",▲
trunk,"n.大衣箱,皮箱;(汽车后部)行李箱;树干,躯干",△
tub,"n.木盆,澡盆",▲
tube,"n.管,软管;电子管,显像管;地铁",
tuck,v.卷起;塞进,▲
tug,v.用力拖(或拉)；苦干 n.拖；苦干；拖船,▲
tuition,n.学费；(某一学科的)教学，讲授，指导,△
tumble,"v.(使)摔倒;打滚,翻腾 n.摔跤,跌倒;偶然碰上",▲
tumour,n.(tumor)(肿)瘤，肿块,
tune,"n.调子,曲调;和谐,协调 vt.调音,调节,调整",
tunnel,"n.隧道,山洞",△
turbine,"n.汽轮机,涡轮机",▲
turbulent,"a.狂暴的,无秩序的",▲
turkey,n.火鸡(肉)；Turkey 【国名】土耳其,▲
turnover,n.翻倒(物);人员调整;(资金等)周转;营业额,△
turnpike,n.收费公路,▲
tutor,n.导师;家庭教师 v.辅导;当导师;当家庭教师,△
twinkle,vi.(星等)闪烁，(眼睛)发亮 n.闪烁，闪光,▲
twist,v.捻;拧;扭曲;蜿蜒曲折而行 n.拧;歪曲;曲折,△
typhoon,n.台风,
typical,"a.(of)典型的,有代表性的",
ultimate,"a.最后的,最终的;根本的",△
ultraviolet,a./n.紫外线(的),△
unanimous,"a.全体一致的,一致同意的",▲
underestimate,vt.低估，看轻,△
undergo,"vt.遭受,经历,承受",▲
undergraduate,"n.大学生,大学肆业生",
underground,a.地下的;秘密的 n.地铁 ad.在地下,
underlie,"vt.位于...之下, 成为...的基础",△
underline,vt.在…下划线;强调,△
underlying,"a.含蓄的,潜在的;在下面的",
undermine,"v.暗中破坏,逐渐削弱;侵蚀…的基础",▲
underneath,"prep.在…下面 ad.在下面,在底下",△
undertake,"v.承担,担任;许诺,保证;着手,从事",▲
undesirable ,a.不受欢迎的，令人不快的,
undo,"v.松开,解开",▲
uneasy,"a.不安的,焦虑的",▲
unemployment,"n.失业,失业人数",
unexpected,"a.想不到的, 意外的, 未预料到",
unfold,vt.打开;显露;展示 vi.呈现;显示;展示,
unify,"v.使联合,统一;使相同,使一致",△
union,"n.联合,团结;联盟,联邦;协会,社团;和谐",△
unique,"a.唯一的,独一无二的",
unity,"n.团结;统一,一致,整体",△
universal,"a.普遍的,全体的,通用的;宇宙的,世界的",
universe,"n.宇宙,万物",
unload,vi.卸货;退子弹 vt.摆脱...之负担;倾销,▲
update,"v.更新,使现代化",△
upgrade,"v.提升,使升级",
uphold,"vt.支持,赞成;举起;坚持",△
upper,"a.上面的;上部的,较高的",
upright,"a.垂直的,直立的;正直的,诚实的 ad.竖立着",▲
uproar,"n.骚动,喧嚣,鼎沸",▲
upset,"v.使…心烦意乱;打翻,推翻a.难过的;不安的",△
up-to-date,a.现代化的，最新的；跟上时代的,△
upward,"a.向上的,上升的 ad.向上",
urban,"a.城市的, 市内的",△
urge,"vt.催促;怂恿;强调 n.强烈欲望,迫切要求",
urgent,a.急迫的，紧要的，紧急的,
utilize,vt.利用,
utmost,"a.最远的;极度的 n.极限,极度,最大可能",▲
utter,"v.说,发出(声音) a.彻底的,完全的",▲
vacant,"a.空的,未占用的;空缺的;神情茫然的",△
vacuum,"n.真空,真空吸尘器",
vague,"a.不明确的,含糊的,暧昧的",▲
vain,"a.徒劳的,徒然的;自负的,爱虚荣的",△
valid,a.有效的;有根据的;正当的,
valve,"n.阀;(英)电子管,真空管;(心脏的）瓣膜",△
van,n.有篷汽车;有篷货运车厢,△
vanish,vi.突然不见;消失,▲
vanity,"n.虚荣心,浮华; 自负; 空虚",▲
vapour,n.(vapor)汽，(水)蒸气,
variable,a.易变的;可变的;变量的 n.变量,△
variation,"n.变化,变动;变种,变异",△
variety,"n.种种,多种多样;种类,品种",
vary,"vt.改变,变化;使多样化",
vast,"a.巨大的,辽阔的,大量的;巨额的",▲
vegetarian,n.素食主义者；a.素食的,△
vegetation,"n.植物,草木",
vehicle,"n.车辆,交通工具;媒介,载体",
veil,"n.面纱,遮蔽物 v.用面纱掩盖,掩饰",▲
vein,n.血管;静脉;叶脉;纹理;情绪 vt.使成脉络,
velocity,"n.速度,速率",
velvet,"n.丝绒,天鹅绒 a.丝绒制的,柔软的",▲
ventilate,vt.使通风;给…装通风设备,▲
venture,"v.冒险,拼;大胆表示 n.冒险事业,拼,闯",△
verbal,"a.用言辞的,用文字的;口头的;动词的;逐字的",△
verdict,"n.(陪审团的)裁决,判决；判断；定论",▲
verge,"n.边,边缘 v.濒临",▲
verify,"vt.证实,查证;证明",▲
versatile,"a.通用的;多才多艺的,多方面的",△
verse,"n.韵文,诗;诗节,诗句；v.（使）熟练/精通",▲
version,"n.版本;译本,译文;说法",△
versus,"prep.(vs.)…对…(在诉讼,比赛等);与…相对",△
vertical,"a.垂直的,竖的 n.垂线",△
vessel,"n.容器,器皿;船,舰;管,血管",▲
vest,"n.背心,马甲;汗衫,内衣",▲
veteran,"n.老手,老兵",▲
veterinary,n.兽医；a.兽医的,▲
veto,n./v.否决,▲
via,prep.经；通过；凭借,△
vibrate,"v.(使)振动,(使)摇摆；受…而感动",▲
vice,"n.邪恶;恶习;(pl.)台钳,老虎钳; prep.替代",▲
vicinity,"n.邻近,附近",▲
vicious,"a.恶毒的,凶残的,邪恶的",▲
victim,"n.牺牲品,受害者",
Vietnam,n.越南,▲
view,n.视野;风景;观察;见解;照片 vt.观察;认为,
viewpoint,n.观点,
vigorous,"a.朝气蓬勃的,精力旺盛的",▲
vinegar,n.醋,▲
violate,vt.违背;冒犯;妨碍;侵犯;亵渎(圣物),▲
violence,"n.猛烈,强烈;暴力,暴行;强暴",
violent,"a.猛烈的,激烈的;暴力引起的,强暴的",△
violet,"n.紫罗兰,紫色 a.紫色的",▲
virgin,n.处女 a.处女的;纯洁的;原始的;未使用的,▲
virtual,"a.实际上的,事实上的",
virtue,"n.德行,美德;贞操;优点;功效,效力",△
virus,"n.病毒;(精神,道德方面的)有害影响",
visa,n.(护照等的)签证;维萨信用卡 vt.签证,
visible,"a.看得见的, 明显的, 显著的",
visual,"a.看的,看得见的;视觉的",△
vital,"a.生死攸关的,重大的;生命的,生机的",▲
vivid,"a.鲜艳的;生动的,栩栩如生的",▲
vocal,a.声音的;有声的;歌唱的 n.元音;声乐作品,△
vocation,n.职业;召唤;天命;天职;才能,△
void,a.空虚的;没有的;无效的,△
volatile,"a.挥发性的, 不稳定的, 轻快的, 爆炸性的",▲
volcano,n.火山,
volt,n.伏特,
voltage,n.电压,
volume,"n.容积,体积;卷,册;音量",
voluntary,"a.自愿的,志愿的；自主的",▲
volunteer,"n./v.自愿(者,兵);自愿(提供)",
volunteer,"n./v.自愿(者,兵);自愿(提供)",
vote,"n.投票,表决;选票,选票数 v.投票,表决",△
vote,"n.投票,表决;选票,选票数 v.投票,表决",
vowel,"n.元音,元音字母",▲
vulgar,a.粗俗的，庸俗的，本土的，通俗的，普通的,▲
vulnerable,a.易受攻击的,▲
wage ,n.工资报酬vt.进行开展,△
wagon,"n.运货马车,运货车;敞蓬车厢",
waken,"v.醒,弄醒,唤醒",
wander,"v.漫步,徘徊;迷路,迷失方向;离题",
ward,"n.病房;行政区;监护;被监护人 vt.挡住, 守卫",▲
wardrobe,"n.衣柜,衣厨;衣服;行头;剧装",▲
warehouse,"n.仓库,货栈",▲
warfare,n.战争(状态);斗争;冲突,▲
warrant,"n.正当理由;许可证,委任状 v.保证,担保",△
waterfall,n.瀑布,
waterproof,"a.防水的,耐水的",△
watt,"n.瓦,瓦特",
wax,"n.蜡,蜂蜡 v.打蜡",▲
wealthy,"a.富有的,丰裕的,充分的 n.富人,有钱人",
weary,"a.疲倦的;令人厌烦的 v.使疲倦,使厌倦",▲
weave,v.编(织) n.编织法，编织式样,
wedge,"n.楔,楔形 vt.楔牢,楔入,挤进",▲
weed,"n.杂草,野草 v.除草,锄草",▲
weep,"v.哭泣,流泪;滴下 n.哭泣",▲
weird,a.古怪的，离奇的；怪诞的，神秘而可怕的,▲
weld,"v.焊接 n.焊接,焊缝",▲
welfare,n.福利；幸福；福利事业,
whale,n.鲸；庞然大物；v.捕鲸,△
whatsoever,ad.(用于否定句中以加强语气)任何,△
whip,"n.鞭子;车夫 v.鞭打,抽打;突然移动",▲
whirl,"v.(使)旋转,打转 n.旋转;-连串快速的活动",▲
whisky,n.威士忌酒,
whistle,"n.口哨,汽笛;口哨声,汽笛声 v.吹口哨;鸣笛",△
wholesome,"a.卫生的;有益的;健康的,有益健康的",▲
wholly,"ad.完全地,全部,一概",
wicked,a.坏的;邪恶的;不道德的;恶劣的;淘气的,▲
widespread,"a.分布广泛的,普遍的",
widow,n.寡妇,▲
width,"n.宽度;宽阔,广阔",
wink,v.(使)眨眼；眨眼示意 n.眨眼；小睡，打盹,▲
wisdom,"n.智慧,明智;名言,格言",△
wit,"n.智力,才智,智慧",
witch,"n.女巫, 巫婆，巫师",▲
withdraw,"v.收回,撤消;缩回,退出;提取(钱)",
withhold,vt.使停止;拒给;保留;抑制 vi.忍住,△
withstand,"vt.抵抗,经受住",
witness,"n.目击者,证人;证据,证明 v.目击,目睹;作证",△
worship,"n.礼拜,礼拜仪式;崇拜 v.崇拜,敬仰;做礼拜",
worthwhile,a.值得(做)的,
worthy,"a.(of)值得…的,配得上…的;有价值的",
wrap,"v.裹,缠,卷,包; 杀青；n.披肩,围巾",△
wreath,"n.花环,花圈",▲
wreck,"n.失事船(或飞机)v.(船等)失事,遇难;破坏",△
wrench,v.猛拧；挣脱；使扭伤 n.扳手；痛苦，难受,▲
wretched,a.可怜的;悲惨的;肮脏的;恶劣的,▲
wrinkle,"n.皱纹 v.起皱,皱眉",▲
wrist,"n.腕,腕关节",△
X-ray,"n.X射线,X光",
yawn,v.打呵欠，张开；n.呵欠,▲
yell,vi.大叫;呼喊;忍不住笑；vt.叫着说 n.叫声;喊声,▲
yield,"v.出产,生长;(to)屈服,服从 n.产量,收获,当量",△
youngster,n.小伙子，年轻人；少年，儿童,
zeal,n.热心，热忱，热情,△
zebra,n.斑马,△
zigzag,"n./a.之字形(的) v.使曲折,曲折盘旋",▲
zinc,n.锌,△
zip,v.(用拉链或像拉链那样)合上或打开,
zone,"n.地区,区域 v.分区,划分地带",
zoom,"vi.(飞机)陡升, 缩放；n.陡升；嗡嗡声",▲
